A,B,C
94,137,153
80,181,195
147,176,191
68,205,205
102,205,205
87,155,153
83,207,205
66,204,188
83,146,165
111,172,205
143,190,184
80,190,148
10,200,241
143,163,151
130,151,167
55,155,188
150,207,216
93,146,127
91,183,193
81,195,214
111,163,136
78,172,191
106,144,146
98,205,226
59,169,167
37,209,216
48,239,231
139,178,193
160,129,125
145,158,157
70,212,220
130,95,125
74,225,233
119,242,233
130,122,161
121,111,132
128,169,151
171,158,155
220,163,129
109,163,172
143,197,182
117,157,176
190,157,153
164,139,138
121,221,191
102,169,195
160,139,214
81,262,195
169,118,94
193,109,79
160,178,134
177,139,138
147,169,186
143,172,163
193,148,119
180,123,125
154,183,165
108,190,199
128,214,228
139,195,199
121,183,129
85,249,256
83,137,155
124,157,172
143,198,191
218,193,184
150,178,163
152,186,184
83,263,205
126,148,134
74,179,163
115,181,155
94,163,127
173,113,90
122,144,169
156,163,125
139,163,169
259,174,123
83,186,205
72,193,233
108,253,260
108,209,151
93,146,155
152,184,191
192,202,178
156,170,191
89,143,132
68,176,167
87,176,184
96,163,153
121,207,193
111,165,167
126,157,117
78,198,146
33,225,247
141,183,151
134,157,108
76,155,195
70,170,163
119,172,226
184,209,188
111,172,184
205,160,144
119,163,163
147,22,79
173,123,96
197,205,195
117,172,182
186,157,85
139,118,115
231,181,108
81,211,172
193,109,85
128,237,210
109,218,205
139,178,172
132,181,148
93,218,201
139,169,144
113,127,125
109,181,186
78,193,176
109,181,157
85,242,252
173,151,153
156,184,172
85,218,182
139,202,157
143,214,210
70,218,201
124,151,167
152,130,148
124,190,167
169,163,182
128,130,119
121,218,243
177,169,157
160,202,186
132,139,68
128,85,108
81,172,172
152,190,224
109,169,157
128,157,201
70,214,258
169,151,153
147,184,167
173,151,153
231,144,138
139,151,134
128,127,163
173,139,104
169,157,129
160,202,186
193,169,167
152,135,148
143,160,129
143,123,104
78,214,224
128,169,182
117,218,220
48,221,239
93,221,220
128,127,129
128,193,153
52,246,247
152,290,220
156,184,163
106,211,214
132,190,167
152,172,210
106,157,157
106,151,163
139,184,129
98,181,262
81,221,191
102,230,186
124,221,191
124,114,235
106,148,191
206,135,157
143,181,228
147,144,163
89,230,205
55,190,191
109,202,239
132,184,195
124,160,167
109,202,182
52,202,201
109,226,224
126,204,167
117,193,201
93,197,201
117,181,201
186,202,205
113,169,191
136,172,233
124,202,220
132,184,182
117,151,163
124,226,224
128,169,163
85,160,220
136,169,205
102,123,134
143,178,134
152,169,182
152,178,129
139,205,224
128,151,172
102,197,210
102,197,214
177,109,129
78,193,239
121,190,191
143,169,195
143,211,167
109,157,167
109,230,228
169,197,191
66,102,125
132,109,94
109,184,195
93,157,195
186,157,167
203,106,134
128,102,108
132,109,134
169,157,157
132,178,205
164,151,205
117,148,153
160,148,157
147,144,163
169,130,182
169,144,157
117,144,144
89,151,176
139,193,195
164,94,119
132,127,163
117,160,153
78,246,290
113,172,186
93,169,210
121,181,195
193,120,148
210,144,142
246,135,125
212,170,159
233,176,142
205,172,163
233,146,104
197,211,188
190,190,176
175,186,188
193,181,167
223,130,153
158,207,157
261,120,58
242,146,155
231,134,163
220,162,111
167,179,224
287,130,121
193,207,203
218,163,142
186,200,178
205,170,138
100,239,222
195,193,228
221,176,169
165,163,205
156,183,146
139,200,224
242,137,117
251,144,123
231,170,163
165,202,199
212,176,163
246,143,119
210,69,85
154,235,216
233,108,111
223,172,138
227,144,167
193,160,163
193,184,138
244,172,138
274,118,75
220,157,119
274,193,163
223,123,138
261,160,119
220,184,148
244,157,153
197,178,148
264,184,167
261,160,167
253,94,54
248,169,176
231,144,167
264,202,172
190,148,186
180,214,167
143,193,182
169,163,144
160,193,220
242,155,184
136,190,233
156,214,210
206,178,163
231,132,102
182,207,237
206,190,199
206,153,161
246,144,117
212,163,121
206,162,142
206,144,172
206,211,218
223,183,163
220,211,146
240,174,121
171,158,193
216,141,167
175,106,214
214,137,136
195,162,146
150,32,172
253,139,132
173,94,184
287,113,108
251,130,104
210,176,184
214,155,155
257,172,142
190,183,136
229,129,174
262,108,111
238,104,56
203,108,87
192,141,138
190,174,121
162,111,169
201,109,108
221,151,142
238,122,184
227,167,98
242,130,174
190,205,144
229,155,117
158,204,153
171,143,153
188,190,182
192,120,129
182,135,125
149,225,243
229,178,113
229,135,106
223,165,100
242,120,62
205,153,172
210,94,111
283,141,43
246,38,142
242,97,100
173,157,151
283,48,83
210,85,138
171,146,117
216,118,138
261,169,113
182,163,121
240,92,134
223,123,87
225,122,83
242,157,123
238,109,117
244,141,90
223,174,142
216,167,117
233,167,136
259,10,62
203,120,106
238,137,129
195,137,108
218,118,142
201,137,90
193,167,125
268,108,77
251,193,161
223,157,151
234,155,100
227,178,125
180,178,172
264,184,182
206,226,201
244,172,186
240,178,115
197,211,210
206,163,144
223,172,129
281,148,167
180,237,277
193,219,239
210,172,157
169,123,153
190,172,163
186,237,182
173,214,148
203,157,176
227,211,195
177,214,228
177,221,228
223,211,182
261,144,119
180,148,191
173,265,201
206,190,195
227,148,144
210,190,163
210,172,144
193,230,195
240,97,144
236,90,85
177,148,205
190,197,167
240,130,119
290,211,201
164,230,201
180,221,239
281,48,90
186,178,144
190,242,201
257,193,144
193,230,233
236,127,148
244,160,167
197,242,220
220,226,220
169,190,186
223,214,182
274,135,119
197,197,176
248,197,153
173,172,220
220,178,148
193,169,144
244,139,100
248,114,163
261,151,167
190,181,195
240,169,134
164,205,224
240,205,233
203,193,163
227,197,138
236,151,157
193,151,144
227,190,134
223,193,195
231,178,79
203,169,157
231,211,182
240,197,186
227,151,129
197,197,157
169,181,205
197,190,182
193,178,108
240,148,104
186,265,285
210,123,104
231,205,195
231,221,201
231,160,157
190,190,172
132,184,104
261,135,108
244,230,157
227,233,176
214,163,138
281,151,94
206,181,153
227,197,163
160,178,125
214,178,115
227,160,90
253,202,157
214,148,138
177,130,157
236,127,90
220,184,75
244,184,182
173,202,163
193,123,100
248,197,195
190,202,148
152,163,153
214,202,205
186,214,182
236,184,129
248,118,10
177,190,182
231,190,100
